chapter,name,key,pageNumber,_id,description,serie,thumbnail,amount,userCreator,price,timeFirstPublished
2,To Kill a Mockingbird 12,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8c3,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 12,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,3,60be2d9d6a90b5004d9d6a1b,8,null
6,To Kill a Mockingbird 16,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8c4,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 16,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,5,60be2d9d6a90b5004d9d6a1b,25,null
10,To Kill a Mockingbird 110,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8c5,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 110,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,9,60be2d9d6a90b5004d9d6a1b,7,Mon Jul 19 2021 09:04:41 GMT+0700 (Indochina Time)
14,To Kill a Mockingbird 114,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8c6,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 114,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,6,60be2d9d6a90b5004d9d6a1b,53,null
18,To Kill a Mockingbird 118,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8c7,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 118,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,8,60be2d9d6a90b5004d9d6a1b,54,null
22,To Kill a Mockingbird 122,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8c8,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 122,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,69,null
26,To Kill a Mockingbird 126,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8c9,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 126,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,5,60be2d9d6a90b5004d9d6a1b,86,null
30,To Kill a Mockingbird 130,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8ca,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 130,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,8,60be2d9d6a90b5004d9d6a1b,52,null
34,To Kill a Mockingbird 134,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8cb,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 134,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,98,null
38,To Kill a Mockingbird 138,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8cc,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 138,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,3,60be2d9d6a90b5004d9d6a1b,93,null
42,To Kill a Mockingbird 142,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8cd,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 142,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,3,60be2d9d6a90b5004d9d6a1b,26,Mon Jul 19 2021 21:13:35 GMT+0700 (Indochina Time)
46,To Kill a Mockingbird 146,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8ce,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 146,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,3,60be2d9d6a90b5004d9d6a1b,77,Mon Jul 19 2021 17:35:56 GMT+0700 (Indochina Time)
50,To Kill a Mockingbird 150,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8cf,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 150,60cabc7f27a131004cceab43,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,1,60be2d9d6a90b5004d9d6a1b,82,Mon Jul 19 2021 15:51:10 GMT+0700 (Indochina Time)
54,To Kill a Mockingbird 154,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8d0,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 154,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,9,60be2d9d6a90b5004d9d6a1b,79,Tue Jul 20 2021 00:46:55 GMT+0700 (Indochina Time)
58,To Kill a Mockingbird 158,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8d1,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 158,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,4,60be2d9d6a90b5004d9d6a1b,61,null
62,To Kill a Mockingbird 162,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8d2,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 162,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,1,60be2d9d6a90b5004d9d6a1b,65,null
66,To Kill a Mockingbird 166,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8d3,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 166,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,9,60be2d9d6a90b5004d9d6a1b,71,null
2,To Kill a Mockingbird 12,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8d4,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 12,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,61,null
6,To Kill a Mockingbird 16,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8d5,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 16,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,6,60be2d9d6a90b5004d9d6a1b,79,null
10,To Kill a Mockingbird 110,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8d6,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 110,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,3,60be2d9d6a90b5004d9d6a1b,97,Mon Jul 19 2021 13:45:55 GMT+0700 (Indochina Time)
14,To Kill a Mockingbird 114,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8d7,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 114,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,8,60be2d9d6a90b5004d9d6a1b,32,null
18,To Kill a Mockingbird 118,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8d8,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 118,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,7,60be2d9d6a90b5004d9d6a1b,77,Mon Jul 19 2021 19:33:35 GMT+0700 (Indochina Time)
22,To Kill a Mockingbird 122,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8d9,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 122,60cabc7f27a131004cceab44,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,5,60be2d9d6a90b5004d9d6a1b,69,Wed Jul 21 2021 07:34:44 GMT+0700 (Indochina Time)
26,To Kill a Mockingbird 126,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8da,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 126,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,7,60be2d9d6a90b5004d9d6a1b,63,null
30,To Kill a Mockingbird 130,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8db,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 130,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,1,60be2d9d6a90b5004d9d6a1b,63,Tue Jul 20 2021 14:36:10 GMT+0700 (Indochina Time)
34,To Kill a Mockingbird 134,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8dc,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 134,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,9,60be2d9d6a90b5004d9d6a1b,43,null
38,To Kill a Mockingbird 138,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8dd,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 138,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,51,Mon Jul 19 2021 21:50:08 GMT+0700 (Indochina Time)
42,To Kill a Mockingbird 142,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8de,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 142,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,10,60be2d9d6a90b5004d9d6a1b,96,null
46,To Kill a Mockingbird 146,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8df,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 146,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,2,60be2d9d6a90b5004d9d6a1b,65,Tue Jul 20 2021 18:11:28 GMT+0700 (Indochina Time)
50,To Kill a Mockingbird 150,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8e0,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 150,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,43,Mon Jul 19 2021 05:59:39 GMT+0700 (Indochina Time)
54,To Kill a Mockingbird 154,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8e1,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 154,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,8,60be2d9d6a90b5004d9d6a1b,20,null
58,To Kill a Mockingbird 158,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8e2,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 158,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,1,60be2d9d6a90b5004d9d6a1b,54,Mon Jul 19 2021 11:40:05 GMT+0700 (Indochina Time)
62,To Kill a Mockingbird 162,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8e3,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 162,60cabc7f27a131004cceab45,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,5,60be2d9d6a90b5004d9d6a1b,85,null
